,SMILES,MVS-A,Score,MVS-A percentile,Score percentile,Confirmed
134280,COc1ccc(C(=O)NCc2cnn(C)c2)cc1OC1CCN(C(C)C)CC1,77.92781831336502,0.0,100.0,0,1
94658,CCn1c(SCc2nc(-c3cccs3)no2)nnc1-c1c[nH]c2ccccc12,64.85530268658017,0.0,99.999670648526,0,0
185275,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)c3ccc(Cl)cc3[N+](=O)[O-])cc2)no1,59.69766442250502,0.0,99.99934129705196,0,0
171801,CSc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)s1,57.76436622298203,0.0,99.99901194557796,0,0
103460,CN1CCN(C(=O)C2CCCN(c3ncnc4c3nc3n4CCCCC3)C2)CC1,57.657427368641024,0.0,99.99868259410395,0,0
92506,CCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)s1,57.43544686343808,0.0,99.99835324262992,0,0
210997,Cc1cccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)Nc3nnc(C(C)C)s3)n2)c1,56.79225004805144,0.0,99.99802389115592,0,0
247054,O=C(C1CCCN(c2ncnc3c2nc2n3CCCCC2)C1)N1CCCCC1,56.46688291932658,0.0,99.99769453968192,0,0
37018,CC1CCN(C(=O)C2CCCN(c3ncnc4c3nc3n4CCCCC3)C2)CC1,56.3100505828892,0.0,99.9973651882079,0,0
51655,CCCN(CCC)CCCNC(=O)c1cn(CC)c2ccc(S(=O)(=O)N(C)C3CCCCC3)cc2c1=O,55.34184581888107,0.0,99.99703583673389,0,0
135866,COc1ccc(C(CCN2CCN(c3ccccc3)CC2)c2c(OC)cc(OC)c3c(-c4ccccc4)cc(=O)oc23)cc1,55.29867889013583,0.0,99.99670648525988,0,0
125119,COc1cc(OC)c2c(-c3ccccc3)cc(=O)oc2c1C(CCN1CCN(c2ccccc2)CC1)c1ccc(N(C)C)cc1,54.2119501603658,0.0,99.99637713378586,0,0
36205,CC1CCCC(NC(=O)c2cccc(S(=O)(=O)N3CCCCC3)c2)C1C,54.13285609517625,0.0,99.99604778231183,0,0
299636,Oc1c(Br)cc(C=Nc2ccc3nc(-c4ccccc4)[nH]c3c2)c(O)c1Br,53.91271506648168,0.0,99.99571843083784,0,0
29194,CC(NC(=O)c1cccc(OC2CCN(C3CCN(C)CC3)CC2)c1)c1ccccc1,53.38061666738759,0.0,99.99538907936382,0,0
171800,CSc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(C)cc3)ncc2Cl)s1,52.31952344888661,0.0,99.9950597278898,0,0
87701,CCSc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(F)cc3)ncc2Cl)s1,51.99022947124315,0.0,99.9947303764158,0,0
125118,COc1cc(OC)c2c(-c3ccccc3)cc(=O)oc2c1C(CCN1CCCC(C)C1)c1ccc2c(c1)OCO2,51.4249529152263,0.0,99.99440102494178,0,0
36376,CC1CCCCC1NC(=O)c1cccc(S(=O)(=O)N2CCN(Cc3ccccc3)CC2)c1,51.20108667113116,0.0,99.99407167346776,0,0
