,Time - mean,Time - STD,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,Scaffold - mean,Scaffold - std
transporter,49.19434647560119,0.7165308595198264,0.2929377350605934,0.4680296631815627,0.023274880112803813,0.7070622649394066,0.956040125634156,0.007981069206105968,58.859315589353606,2.1961260955427604
transcription,56.21227712631226,0.22632842823155636,0.4730878186968839,0.7597648257750003,0.023355922002018553,0.5269121813031161,0.8883899054750826,0.02383344113641328,56.239316239316246,0.9593993299420372
transcription_3,47.05224604606629,0.7975412026450461,0.7640941434044882,0.8918455552792814,0.010684852900456178,0.23590585659551178,0.694821450998137,0.022849222058533247,55.27896995708154,1.1643484949571272
GPCR_2,26.041371488571166,0.2913836304188486,0.7915966386554621,0.8769472086196981,0.024317336564820796,0.20840336134453785,0.5477652163811856,0.03321278681876536,63.93939393939394,1.4845392380504119
GPCR_3,7.931778860092163,0.15141774151182588,0.5652435357787132,0.8599448639389022,0.02154520582980963,0.4347564642212868,0.796749694980923,0.009702452023315222,71.46788990825688,1.7503471585632018
ion_channel,49.09755492210388,0.45715810457725276,0.1590909090909091,0.18287459869069325,0.03526094525510822,0.8409090909090909,0.843974768279619,0.025844552077166027,43.72093023255814,1.596221727284805
ion_channel_2,16.662935638427733,0.25310310358343424,0.21364653243847875,0.31749037694286525,0.028580493637552176,0.7863534675615212,0.8136800243307395,0.01752351733087828,65.48463356973996,0.9456264775413714
ion_channel_3,45.58958697319031,0.9950437815877899,0.32430143945808637,0.4536026969995966,0.02666059914912275,0.6756985605419137,0.903374987745982,0.018310063908583106,45.45454545454545,2.710385427272472
kinase,46.742197561264035,0.16439890582561015,0.21621621621621623,0.4916666666666667,0.04859126579037753,0.7837837837837838,0.915909090909091,0.036442465063047574,72.50000000000001,4.999999999999999
GPCR,66.57468123435974,0.6684965995487218,0.5113573407202217,0.5515362683881047,0.06720000781141644,0.48864265927977835,0.4894190176853018,0.03246749162259416,56.347826086956516,1.6314489599385849
serine,28.80825319290161,0.18197192853351782,0.9141494435612083,0.9574178227721534,0.014591175280777817,0.08585055643879169,0.386724159480065,0.026666526076445724,74.01574803149606,1.3175748449355513
transcription_4,59.48190717697143,0.29785549648463927,0.8126361655773421,0.9438407191869087,0.012307638790222895,0.18736383442265792,0.349317040810697,0.024156142016198846,65.02793296089386,1.9223073222441633
ubiquitin,51.85249538421631,0.3702537920929906,0.7067108533554267,0.7180560551442146,0.021908197726370055,0.2932891466445733,0.4260608599611532,0.014639014356710589,29.220779220779217,0.9183204950474644
splicing,45.13815007209778,0.5990076060868809,0.1154394299287411,0.27343605521198583,0.047675921291329144,0.8845605700712589,0.9514931536622473,0.005584674858715067,46.94063926940639,1.204648945960997
transcription_2,51.805352783203126,0.7441177832815814,0.6223463687150838,0.5936192446713868,0.01884083141964727,0.37765363128491625,0.3835757731332745,0.02082070459630164,63.74695863746958,0.7732481061834914
