,Time - mean,Time - STD,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,FP EF10 - mean,FP EF10 - STD,TP EF10 - mean,TP EF10 - STD,FP BEDROC20 - mean,FP BEDROC20 - STD,TP BEDROC20 - mean,TP BEDROC20 - STD,FP Scaffold - mean,FP Scaffold - STD,TP Scaffold - mean,TP Scaffold - STD
GPCR,67.58300676345826,1.2709185827610503,0.5113573407202217,0.5515362683881047,0.06720000781141644,0.48864265927977835,0.4894190176853018,0.03246749162259416,0.2820321195136957,0.03436321729082403,0.23915101030384278,0.015865001446608337,0.5138176550500353,0.06971520219995889,0.5098139948388793,0.023928349541993705,80.86956521739131,6.997271950181834,56.347826086956516,1.6314489599385849
GPCR_2,24.333477306365968,0.12660715703853098,0.7915966386554621,0.8769472086196981,0.024317336564820796,0.20840336134453785,0.5477652163811856,0.03321278681876536,0.6941884626216432,0.01924952188576571,0.11415611232145717,0.0069216564126502594,0.8714888710552536,0.023603667150015457,0.5445863846216902,0.013387762547270348,92.020202020202,1.406907906786275,63.93939393939394,1.4845392380504119
GPCR_3,7.570948457717895,0.03959618525310458,0.5652435357787132,0.8627315920794182,0.01663957377972759,0.4347564642212868,0.7858617221049771,0.0210004808169854,0.48765345553496886,0.009405411517103977,0.34165846366921127,0.009130094786939534,0.871362677003224,0.015526573277667101,0.8252444385276441,0.011252843704335297,89.1743119266055,1.1085363278527118,70.73394495412843,1.244464217087205
channel_atp,51.86653938293457,0.17520196713571037,0.4802804557405784,0.6563647815379576,0.013349183553509588,0.5197195442594216,0.7661851551391761,0.030955100073481737,0.3152391764091155,0.0064113519608442315,0.3982013996472668,0.01608797050269471,0.6495782161909067,0.016051693213874486,0.7857587183490347,0.02308306422729773,92.52032520325204,1.6582177279976527,66.82926829268294,2.2056357668700066
cysteine_protease,53.21332206726074,1.0997367108696119,0.4845869297163995,0.7887119610481134,0.022543962127526698,0.5154130702836005,0.8583566760037348,0.04444738670046659,0.38219950763490573,0.010924509391020961,0.4424082497775107,0.022908764045369956,0.824938741963696,0.016557348542299025,0.8717864785982259,0.010683537212234659,96.54054054054055,1.1130410963229207,58.702702702702695,1.5888582115350338
ion_channel,47.718233060836795,0.9229223706367579,0.1590909090909091,0.18287459869069325,0.03526094525510822,0.8409090909090909,0.843974768279619,0.025844552077166027,0.029093686155337563,0.0056096958360399435,0.709706055144225,0.021732918792162343,0.20176289039478287,0.04104735774696028,0.8415577190053417,0.02174258877557542,83.33333333333334,3.3522090403782387,43.72093023255814,1.596221727284805
ion_channel_2,16.322519731521606,0.16129557326576854,0.21364653243847875,0.31749037694286525,0.028580493637552176,0.7863534675615212,0.8136800243307395,0.01752351733087828,0.0678307181164287,0.006106123361043029,0.6398401086180199,0.013779678617010535,0.3408866503941916,0.0143623043371121,0.8270093124585565,0.03360408918154926,90.30732860520095,0.8051719321951034,65.48463356973996,0.9456264775413714
ion_channel_3,43.96804356575012,0.5128895778274487,0.32430143945808637,0.4496010139593028,0.00702756140739679,0.6756985605419137,0.886118352281658,0.023571626757115802,0.14580625600881705,0.0022790482802988715,0.5987488951064888,0.015927314269414416,0.459886463111688,0.021105953833045192,0.8893478692764457,0.016846256242327388,91.3939393939394,1.042706092974864,46.54545454545455,1.8141369147994852
kinase,45.23628535270691,0.6655366886907284,0.21621621621621623,0.4916666666666667,0.04859126579037753,0.7837837837837838,0.915909090909091,0.036442465063047574,0.1063063063063063,0.010506219630351898,0.7178746928746929,0.0285630131575238,0.4924772020146214,0.03394301101490664,0.9159159896332619,0.04249212311741154,100.0,0.0,72.50000000000001,4.999999999999999
serine,26.03974962234497,0.2601215172949823,0.9141494435612083,0.9588426446694163,0.010546978291156502,0.08585055643879169,0.3791901012373453,0.021289077286614215,0.8765254700873042,0.009641514336112841,0.03255368118730787,0.0018276791311242731,0.9468899315653461,0.0094592391109232,0.6126294921114,0.022845864469580174,89.76377952755905,1.1135539861205455,74.17322834645668,0.9182601409205162
