,Time - mean,Time - STD,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,Scaffold - mean,Scaffold - std
transporter,3.93998336791992,0,0.292937735060593,0.181434599156118,0,0.707062264939407,0.694805194805195,0,74.2616033755274,0
transcription,1.57304120063782,0,0.473087818696884,0.23125,0,0.526912181303116,0.483870967741936,0,78.75,0
transcription_2,2.80367422103882,0,0.764094143404488,0.585635359116022,0,0.235905856595512,0.216281895504253,0,96.1325966850829,0
GPCR_2,2.10551571846008,0,0.791596638655462,0.672413793103448,0,0.208403361344538,0.202296819787986,0,89.6551724137931,0
GPCR_3,2.69281935691833,0,0.565243535778713,0.473118279569893,0,0.434756464221287,0.429299363057325,0,84.9462365591398,0
ion_channel,1.81156182289124,0,0.159090909090909,0.238636363636364,0,0.840909090909091,0.847826086956522,0,71.5909090909091,0
ion_channel_2,1.66530847549438,0,0.213646532438479,0.222222222222222,0,0.786353467561521,0.786713286713287,0,83.3333333333333,0
ion_channel_3,1.71611785888672,0,0.324301439458086,0.415384615384615,0,0.675698560541914,0.686964795432921,0,84.6153846153846,0
kinase,0.324637889862061,0,0.216216216216216,0.145454545454545,0,0.783783783783784,0.760479041916168,0,74.5454545454546,0
GPCR,2.76419591903687,0,0.511357340720222,0.47766323024055,0,0.488642659279778,0.482166446499339,0,70.1030927835052,0
serine,1.95898199081421,0,0.914149443561208,0.909090909090909,0,0.085850556438792,0.085570469798658,0,95.4545454545455,0
transcription_3,2.09463477134705,0,0.812636165577342,0.897959183673469,0,0.187363834422658,0.193901485535575,0,88.7755102040816,0
ubiquitin,2.37465596199036,0,0.706710853355427,0.682926829268293,0,0.293289146644573,0.291555555555556,0,58.5365853658537,0
splicing,2.92150139808655,0,0.115439429928741,0.096244131455399,0,0.884560570071259,0.879690291840381,0,57.7464788732394,0
channel_atp,1.89928364753723,0,0.480280455740578,0.341935483870968,0,0.519719544259422,0.497971602434077,0,78.7096774193548,0
cysteine_protease,1.18144345283508,0,0.484586929716399,0.2265625,0,0.515413070283601,0.46705710102489,0,82.03125,0
zinc_finger,1.14089727401733,0,0.489035087719298,0.42560553633218,0,0.510964912280702,0.481540930979133,0,71.9723183391003,0
