,Time - mean,Time - STD,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,FP EF10 - mean,FP EF10 - STD,TP EF10 - mean,TP EF10 - STD,FP BEDROC20 - mean,FP BEDROC20 - STD,TP BEDROC20 - mean,TP BEDROC20 - STD,FP Scaffold - mean,FP Scaffold - STD,TP Scaffold - mean,TP Scaffold - STD
GPCR,2.824986219406128,0.0,0.5113573407202217,0.47766323024054985,0.0,0.48864265927977835,0.4821664464993395,0.0,0.24425659917563852,0.0,0.23560709463291823,0.0,0.5148212781642122,0.0,0.4710470578114345,0.0,70.10309278350516,0.0,81.57199471598415,0.0
GPCR_2,2.1408143043518066,0.0,0.7915966386554621,0.6724137931034483,0.0,0.20840336134453785,0.20229681978798586,0.0,0.532280498406259,0.0,0.04215933723312647,0.0,0.6791089936065592,0.0,0.23784510793590885,0.0,89.65517241379311,0.0,84.2756183745583,0.0
GPCR_3,2.73628306388855,0.0,0.5652435357787132,0.4731182795698925,0.0,0.4347564642212868,0.42929936305732486,0.0,0.26742704918562776,0.0,0.18664067317525307,0.0,0.5240070035390704,0.0,0.3740346474537845,0.0,84.94623655913979,0.0,86.11464968152866,0.0
channel_atp,1.9316060543060303,0.0,0.4802804557405784,0.3419354838709677,0.0,0.5197195442594216,0.49797160243407707,0.0,0.16422493002742358,0.0,0.2588055742711724,0.0,0.36328379851370995,0.0,0.4307234591574868,0.0,78.70967741935483,0.0,84.48275862068965,0.0
cysteine_protease,1.2061505317687988,0.0,0.4845869297163995,0.2265625,0.0,0.5154130702836005,0.4670571010248902,0.0,0.10978922626387176,0.0,0.24072733443699643,0.0,0.2779005415738305,0.0,0.3753867536135617,0.0,82.03125,0.0,84.77306002928258,0.0
ion_channel,1.841489315032959,0.0,0.1590909090909091,0.23863636363636365,0.0,0.8409090909090909,0.8478260869565217,0.0,0.03796487603305785,0.0,0.7129446640316206,0.0,0.2463174799649416,0.0,0.879736360373355,0.0,71.5909090909091,0.0,66.10671936758894,0.0
ion_channel_2,1.684314250946045,0.0,0.21364653243847875,0.2222222222222222,0.0,0.7863534675615212,0.7867132867132867,0.0,0.04747700720855083,0.0,0.6186347209837142,0.0,0.2184578625467638,0.0,0.7589613536141241,0.0,83.33333333333333,0.0,80.65268065268066,0.0
ion_channel_3,1.7564349174499512,0.0,0.32430143945808637,0.4153846153846154,0.0,0.6756985605419137,0.686964795432921,0.0,0.13470982869797435,0.0,0.4641811234169949,0.0,0.3894220316422086,0.0,0.6461911261259315,0.0,84.61538461538461,0.0,67.84015223596575,0.0
kinase,0.32746219635009766,0.0,0.21621621621621623,0.14545454545454545,0.0,0.7837837837837838,0.7604790419161677,0.0,0.03144963144963145,0.0,0.5960511409613206,0.0,0.2623485876951665,0.0,0.7545768263659355,0.0,74.54545454545455,0.0,77.8443113772455,0.0
serine,1.974489450454712,0.0,0.9141494435612083,0.9090909090909091,0.0,0.08585055643879169,0.08557046979865772,0.0,0.8310449486920075,0.0,0.007346272446943588,0.0,0.8895676739325208,0.0,0.06455053546569488,0.0,95.45454545454545,0.0,86.74496644295301,0.0
splicing,2.957075357437134,0.0,0.1154394299287411,0.09624413145539906,0.0,0.8845605700712589,0.8796902918403812,0.0,0.011110367669198087,0.0,0.7781393460364796,0.0,0.07197962251518143,0.0,0.8760721724710135,0.0,57.74647887323944,0.0,60.0357355568791,0.0
transcription,1.580732822418213,0.0,0.4730878186968839,0.23125,0.0,0.5269121813031161,0.4838709677419355,0.0,0.1094015580736544,0.0,0.254957507082153,0.0,0.24505631464109778,0.0,0.5572785268557559,0.0,78.75,0.0,90.54505005561735,0.0
transcription_2,2.8110997676849365,0.0,0.7640941434044882,0.585635359116022,0.0,0.23590585659551178,0.21628189550425272,0.0,0.4474805480711367,0.0,0.051022165825031704,0.0,0.618914963391326,0.0,0.23952829569967493,0.0,96.13259668508287,0.0,91.79829890643985,0.0
transcription_3,2.130568265914917,0.0,0.8126361655773421,0.8979591836734694,0.0,0.18736383442265792,0.19390148553557468,0.0,0.7297141078653684,0.0,0.03633012583019482,0.0,0.82624405905797,0.0,0.2708796110491622,0.0,88.77551020408163,0.0,79.98436278342454,0.0
transporter,3.868255853652954,0.0,0.2929377350605934,0.18143459915611815,0.0,0.7070622649394066,0.6948051948051948,0.0,0.0531490405384199,0.0,0.49127053473062665,0.0,0.19905384916137334,0.0,0.6914918348628415,0.0,74.26160337552743,0.0,79.26716141001856,0.0
ubiquitin,2.362201690673828,0.0,0.7067108533554267,0.6829268292682927,0.0,0.2932891466445733,0.29155555555555557,0.0,0.482631802291511,0.0,0.08551008008837338,0.0,0.6257291581841642,0.0,0.5360200917923188,0.0,58.53658536585366,0.0,63.82222222222222,0.0
zinc_finger,1.1549413204193115,0.0,0.48903508771929827,0.42560553633217996,0.0,0.5109649122807017,0.48154093097913325,0.0,0.20813604079402662,0.0,0.24605051955732027,0.0,0.42974003417079126,0.0,0.4871070491094089,0.0,71.97231833910034,0.0,82.34349919743178,0.0
