,Time - mean,Time - STD,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,Scaffold - mean,Scaffold - std
transporter,5.431529808044433,0.02464461932426314,0.2929377350605934,0.563320375116384,0.014574892364816272,0.7070622649394066,0.9522713983960095,0.0017725367274240302,94.67680608365019,0.7214321658178818
transcription,5.876348066329956,0.027002324292808858,0.4730878186968839,0.8670430107526881,0.0057594674154159585,0.5269121813031161,0.9352387457715328,0.010480124043074196,96.23931623931624,0.628074293021329
transcription_3,5.211431169509888,0.03324760584997029,0.7640941434044882,0.9162066502405833,0.015322522520151632,0.23590585659551178,0.7538063164410437,0.016057810777799275,96.13733905579399,1.1191763785755624
GPCR_2,3.9951645851135256,0.026553785192911027,0.7915966386554621,0.8914845293075103,0.006614011789302867,0.20840336134453785,0.5637334075930566,0.02320880705262824,94.14141414141415,0.6850838366793202
GPCR_3,1.6109763622283935,0.02301929946002088,0.5652435357787132,0.8982657776908531,0.008731350507929513,0.4347564642212868,0.8183476550572492,0.006509532881860208,93.30275229357797,0.6222321085436024
ion_channel,5.701745653152466,0.08151503747822365,0.1590909090909091,0.222884306095048,0.02106255262199274,0.8409090909090909,0.8664404780747981,0.0055242824498618085,94.34108527131784,0.5801019204300641
ion_channel_2,2.4954205989837646,0.022882469776639693,0.21364653243847875,0.35124481981072614,0.011919199213194887,0.7863534675615212,0.8273985902341238,0.014893821745427641,94.84633569739952,0.27569512505178856
ion_channel_3,5.659921741485595,0.048962425661173245,0.32430143945808637,0.6032751982530743,0.017599394382072326,0.6756985605419137,0.9196292664027217,0.010064424676517815,96.48484848484847,0.453534228699874
kinase,6.128019332885742,0.07432499310345349,0.21621621621621623,0.4916666666666666,0.031180478223116172,0.7837837837837838,0.9916666666666668,0.016666666666666653,100.0,0.0
GPCR,5.864456272125244,0.02864636710576934,0.5113573407202217,0.6035223943286824,0.004758097110309695,0.48864265927977835,0.5674507973310368,0.00752383811183681,92.2086956521739,0.5861669407427038
serine,4.1483237743377686,0.034755858166941926,0.9141494435612083,0.948974061169183,0.006249272558724314,0.08585055643879169,0.3761904761904762,0.011878277418329971,94.46151892303784,1.1148307705591967
transcription_4,6.286106157302856,0.05635511698006351,0.8126361655773421,0.9776223968644253,0.004921062966928839,0.18736383442265792,0.43854960062458936,0.009627413672184925,95.97765363128492,0.9611536611220821
ubiquitin,5.8734715461730955,0.04504083218460859,0.7067108533554267,0.7429179238718484,0.013146931450414621,0.2932891466445733,0.4559898621196683,0.015011918442176376,98.44155844155844,0.5194805194805213
splicing,5.385118389129639,0.028713684439631244,0.1154394299287411,0.41366642986818214,0.006693236400711996,0.8845605700712589,0.9485586415690405,0.011790602906509542,95.98173515981736,0.4473953868097118
transcription_2,4.520793199539185,0.07008825939393062,0.6223463687150838,0.5962030633351331,0.03274604691950959,0.37765363128491625,0.3881365034350699,0.013808872490544731,91.92214111922141,0.39682497397324007
channel_atp,5.962100791931152,0.03131422914707299,0.4802804557405784,0.7478845451223968,0.015944283901512455,0.5197195442594216,0.7503904707514073,0.009646676828757337,97.07317073170732,0.6504065040650403
cysteine_protease,5.955620622634887,0.03384321685293515,0.4845869297163995,0.8669520788735448,0.00832888767651818,0.5154130702836005,0.9031465796683188,0.03668712843303365,98.48648648648648,0.40450350127285917
zinc_finger,5.534831809997558,0.03977704372891413,0.48903508771929827,0.6223639824861984,0.010751955876824313,0.5109649122807017,0.7037735089203012,0.028869316767832026,98.59649122807018,0.42973504259353834
