,Time - mean,Time - STD,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,FP EF10 - mean,FP EF10 - STD,TP EF10 - mean,TP EF10 - STD,FP BEDROC20 - mean,FP BEDROC20 - STD,TP BEDROC20 - mean,TP BEDROC20 - STD,FP Scaffold - mean,FP Scaffold - STD,TP Scaffold - mean,TP Scaffold - STD
GPCR,5.933927011489868,0.03456723657728944,0.5113573407202217,0.6035223943286824,0.004758097110309695,0.48864265927977835,0.5674507973310368,0.00752383811183681,0.30861560662901594,0.002433087885216545,0.27728066661826845,0.0036764682629584896,0.6207720358701437,0.0035447908771803626,0.5717681449882515,0.004537362968104455,92.2086956521739,0.5861669407427038,49.948127496044,0.5541358193651875
GPCR_2,4.050275611877441,0.024559668876241947,0.7915966386554621,0.8914845293075103,0.006614011789302867,0.20840336134453785,0.5637334075930566,0.02320880705262824,0.7056961568131721,0.005235629500439757,0.11748393704460343,0.004836793402564537,0.9119889548467917,0.010225651226093202,0.5609470370868772,0.004135946539265278,94.14141414141415,0.6850838366793202,62.525252525252526,0.86892174414572
GPCR_3,1.6191897869110108,0.006254635348915171,0.5652435357787132,0.8992744982438186,0.011591090879368573,0.4347564642212868,0.8224149948019459,0.010381408352946656,0.5083090970229642,0.006551789192186688,0.357550235262662,0.004513384389164411,0.88931328221706,0.01202602112347213,0.8659401375097164,0.0048937716759979225,92.75229357798165,0.4494476592262681,65.71949227095641,1.0207187876110106
channel_atp,5.992441940307617,0.03292695351065254,0.4802804557405784,0.7478845451223968,0.015944283901512455,0.5197195442594216,0.7519050338582035,0.008411892303857908,0.3591943301727199,0.007657727938675576,0.3907797415231504,0.004371824834520373,0.7492710723302265,0.013129287192732004,0.7827509158194496,0.008847440558568327,97.07317073170732,0.6504065040650403,58.67186991869919,1.0840651260119885
cysteine_protease,6.0387426853179935,0.09266288739420805,0.4845869297163995,0.8669520788735448,0.00832888767651818,0.5154130702836005,0.8958422318422319,0.027921638944579306,0.42011364611258084,0.004036070107116701,0.4617287952035178,0.014391177655775779,0.8295177087096264,0.009107232549590283,0.8835690257334022,0.010160715879138353,98.48648648648648,0.40450350127285917,59.18105201976171,1.2895295651089282
ion_channel,5.683629369735717,0.048795693570527154,0.1590909090909091,0.222884306095048,0.02106255262199274,0.8409090909090909,0.8664404780747981,0.0055242824498618085,0.035458866878757635,0.003350860644407935,0.7285976747447165,0.004645419332838354,0.24838599601455602,0.008880284765861812,0.8582898931889815,0.011548579539159567,94.34108527131784,0.5801019204300641,42.55813953488372,0.8973516978907156
ion_channel_2,2.5355897426605223,0.01113189416070461,0.21364653243847875,0.35124481981072614,0.011919199213194887,0.7863534675615212,0.8273985902341238,0.014893821745427641,0.07504223778953992,0.0025464955813425333,0.6506277504861175,0.011711808374760222,0.34773739460603675,0.014658353723318024,0.8383932779957786,0.01709567076570856,94.84633569739952,0.27569512505178856,63.45153664302601,0.8536865288542684
ion_channel_3,5.699139070510864,0.04211114517407532,0.32430143945808637,0.5910460986184967,0.01400309356583785,0.6756985605419137,0.917066562489077,0.01402454841742448,0.19167710056806456,0.004541223400267479,0.6196605561949903,0.00947636717790408,0.6020845693176831,0.011984592577511624,0.9196054882255348,0.0037613842428319954,96.6060606060606,0.29690784761008365,39.63636363636364,0.9070684573997456
kinase,6.171335935592651,0.03611565541207346,0.21621621621621623,0.4916666666666666,0.031180478223116172,0.7837837837837838,0.9916666666666668,0.016666666666666653,0.1063063063063063,0.006741725021214308,0.7772522522522523,0.01306306306306304,0.5789448964540733,0.009199020864504774,0.9831278070408306,0.0093040660869266,100.0,0.0,68.33333333333334,2.0412414523193103
serine,4.176607942581176,0.022783616804983652,0.9141494435612083,0.947769028871391,0.013833484040173852,0.08585055643879169,0.39013333333333333,0.011398167670878692,0.866402530367329,0.01264587173783779,0.033493163751987284,0.0009785390369275804,0.9305227970296783,0.012371737031107425,0.6422470210941431,0.009049269036954712,93.70078740157481,0.8625552086695488,71.96850393700785,0.3857464161863301
splicing,5.4928937435150145,0.04745505623644656,0.1154394299287411,0.4100702930765195,0.009017342979078724,0.8845605700712589,0.9457983312466263,0.004726782228296383,0.04733828086346519,0.001040956932976786,0.8366159110599611,0.004181125182464512,0.4825027135930842,0.007175655482718434,0.9584165915977121,0.004702512788562344,95.25114155251141,0.465663882519889,36.95350767953508,1.2173814111035122
transcription,5.949022340774536,0.08088951368907289,0.4730878186968839,0.8603991125870321,0.021047420837387084,0.5269121813031161,0.9322446341483888,0.006511789878329109,0.4070443393825336,0.009957278413154793,0.491211053687253,0.0034311414089779574,0.8659495812701982,0.012737974251668458,0.915116905143307,0.002938367463954638,96.66666666666667,0.7352414758156085,50.982360429168935,0.8506366052715436
transcription_2,5.2635890483856205,0.044162259028652305,0.7640941434044882,0.9153929976664401,0.010030911051965135,0.23590585659551178,0.769251427359372,0.022578373295016448,0.6994464284304053,0.007664560387817925,0.18147091690853276,0.005326370492694079,0.9167162931885011,0.002078178990836619,0.6782762175103055,0.005914172173129273,95.70815450643777,1.0512831514090912,53.562231759656655,0.5005108922613979
transcription_3,6.273212099075318,0.12631473810370025,0.8126361655773421,0.9838040548458924,0.006353237519531312,0.18736383442265792,0.43767692880405085,0.011626640960257168,0.7994747548094072,0.005162870576874019,0.08200482761905961,0.0021784120317693157,0.987692236460377,0.0038365609886816926,0.4764131389534601,0.008331068840079349,95.53072625698324,0.7066542257359524,61.11731843575418,1.0947440191209727
transporter,5.50156831741333,0.057007223090569305,0.2929377350605934,0.563320375116384,0.014574892364816272,0.7070622649394066,0.9522713983960095,0.0017725367274240302,0.1650177948000774,0.004269535958101222,0.6733151717868985,0.001253293833180712,0.5738595419584396,0.009662358667559604,0.9562970103511548,0.002731952477527239,94.67680608365019,0.7214321658178818,56.42585551330799,1.4548385148067677
ubiquitin,6.014580774307251,0.04955433094600884,0.7067108533554267,0.7496246338743253,0.014993838515932304,0.2932891466445733,0.452148728465603,0.011936452834730743,0.5297678647015738,0.010596308412667984,0.13261031472810564,0.0035008320658613794,0.7239791730841721,0.006705239459263045,0.5131152146544637,0.005694066897632385,98.18181818181817,0.25974025974026066,27.238374528697108,2.222734145325529
zinc_finger,5.548970365524292,0.0703417306926344,0.48903508771929827,0.6223639824861984,0.010751955876824313,0.5109649122807017,0.7037735089203012,0.028869316767832026,0.3043578247684698,0.005258083685376797,0.35960356925094344,0.01475120790987909,0.6838440665055319,0.005177473566585732,0.7091287206337664,0.018381948169222923,98.59649122807018,0.42973504259353834,62.631578947368425,0.7017543859649122
