,Time - mean,Time - STD,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,FP EF10 - mean,FP EF10 - STD,TP EF10 - mean,TP EF10 - STD,FP BEDROC20 - mean,FP BEDROC20 - STD,TP BEDROC20 - mean,TP BEDROC20 - STD,FP Scaffold - mean,FP Scaffold - STD,TP Scaffold - mean,TP Scaffold - STD
GPCR,4.2868907928466795,0.045864566625943584,0.5113573407202217,0.5981035923619266,0.01413770857918382,0.48864265927977835,0.4994165492907827,0.019115933695292766,0.30584466246540626,0.0072294210629289014,0.24403623073377861,0.009340860675483773,0.6276868596399863,0.004899922234355608,0.5148548953782408,0.011333421035309025,91.0608695652174,1.086643433169621,55.2,0.5228972653347084
GPCR_2,2.766893243789673,0.02510889406914346,0.7915966386554621,0.9063565018305718,0.009471076913320352,0.20840336134453785,0.5869677652408577,0.018948834515814472,0.717468760272604,0.007497272649031734,0.12232605527708629,0.0039490008066571354,0.9112054059602135,0.010427023363135505,0.5741710619483761,0.01445406915050497,96.86868686868686,0.3779451905832265,66.26262626262626,1.702252479429568
GPCR_3,1.077258253097534,0.01665771271727139,0.5652435357787132,0.904205042780186,0.013931965535792748,0.4347564642212868,0.8562382181684661,0.009474129976036074,0.511096055450015,0.007874953459798668,0.3722551002620571,0.0041189392499543535,0.9047635869608056,0.005552814967111907,0.8822037054338283,0.007642472416567281,95.41284403669724,0.5802344330584165,72.84403669724772,0.44944765922626984
channel_atp,3.9831008911132812,0.050402537299702094,0.4802804557405784,0.6890013293452975,0.023955762871497248,0.5197195442594216,0.7345730266399897,0.030794217903444575,0.3309138724638238,0.011505484709535932,0.3817719586305993,0.016004356894603534,0.7056812047618156,0.023288259399517484,0.7467213848770574,0.02131036638798465,99.34959349593495,0.6083995750851934,67.92715447154472,3.8909519825221204
cysteine_protease,4.18226466178894,0.04031473162357803,0.4845869297163995,0.8198264341764675,0.01880769644696767,0.5154130702836005,0.8719497153700189,0.04620655066068972,0.39727717463791834,0.009113963876274098,0.449414279931773,0.023815460143240822,0.8196933930154191,0.008591084801188467,0.8679601637737273,0.014974229782280366,98.59459459459458,0.8782744221228055,60.75675675675675,1.2607463556422267
ion_channel,4.046426486968994,0.03780897676205996,0.1590909090909091,0.2365484360317333,0.021301152123079304,0.8409090909090909,0.8751939747660717,0.010276469177918387,0.037632705732321206,0.003388819655944436,0.7359585696896513,0.008641576354158643,0.23139109478963812,0.0050126374367993574,0.8886931454992235,0.01795413419130687,95.96899224806201,0.7595317031885854,44.8062015503876,1.5619722232255722
ion_channel_2,1.6827205657958983,0.00783603057374218,0.21364653243847875,0.3612350143995714,0.007507930340074213,0.7863534675615212,0.8306137028724192,0.015172481580965213,0.07717660822183237,0.0016040432829465042,0.653155965457842,0.011930933502705307,0.4144122660002575,0.005281355512476094,0.8267388090993579,0.012780599455487617,92.9078014184397,0.5390900355078644,65.48463356973994,0.9456264775413715
ion_channel_3,3.9046693801879884,0.033976005832423065,0.32430143945808637,0.6318558874753565,0.020506175231493385,0.6756985605419137,0.8843990925284688,0.010306525980355785,0.20491177383832476,0.006650182145353068,0.5975871937660611,0.006964104769114243,0.6391780372801606,0.008591867758243945,0.8867900349639829,0.006797960642630498,98.7878787878788,0.3833063830507101,45.93939393939394,1.349761057655762
kinase,4.56746096611023,0.04443191545235611,0.21621621621621623,0.5257246376811594,0.04629181522807085,0.7837837837837838,0.8596666666666666,0.061881607391318885,0.1136701919310615,0.010009041130393694,0.6737927927927928,0.048501800387790485,0.579049700357275,0.024632351754673768,0.8771632702275548,0.03325817765965552,100.0,0.0,74.4,4.719463246316613
serine,2.6232832431793214,0.043368136495803816,0.9141494435612083,0.9685039370078741,0.011135539861205499,0.08585055643879169,0.37600299962504685,0.008613808647503536,0.8853573351025876,0.01017954756787465,0.032280066740465074,0.000739500265445455,0.9592278176833468,0.014050116341910217,0.6019624625952876,0.009666486484048714,94.96062992125984,0.8029951989909895,73.22834645669292,0.862555208669554
