,fp rate,tp rate,time,fp precision,tp precision,fp ef10,tp ef10,fp bedroc,tp bedroc,fp scaffold,tp scaffold
GPCR,0.5113573407202217,0.4886426592797783,2.3242759704589844,-0.03586714464179036,-0.02959311428483391,0.2431454022052034,0.2243111904075019,0.5026170759006926,0.4062360431625937,76.1029411764706,69.24482338611449
GPCR_2,0.7915966386554621,0.2084033613445378,1.5971083641052246,-0.056732338029157336,-0.038220520275620784,0.5817161102436799,0.0354666761219255,0.6671948933788564,0.2011111114528469,84.55114822546973,81.61225849433711
GPCR_3,0.5652435357787132,0.4347564642212868,2.1577396392822266,0.009168996858362477,0.002743535778713224,0.3246829709433861,0.1902059530968129,0.5790160023622153,0.3917604131505783,87.98955613577023,85.38761851645287
channel_atp,0.4802804557405784,0.5197195442594216,1.6002061367034912,-0.07517096668948353,-0.033957400205820276,0.1945661700262927,0.2524600801260172,0.4259364753054798,0.3701002977539985,81.75182481751825,89.05109489051095
cysteine_protease,0.4845869297163995,0.5154130702836005,1.0148613452911377,-0.12408536231828038,-0.08045372069010459,0.1746943477034042,0.2241837338225416,0.2372732311859482,0.3513347704172916,80.56426332288402,77.08470124753775
ion_channel,0.1590909090909091,0.8409090909090909,1.399681806564331,0.044003868471953506,0.03902229845626071,0.0323105327940917,0.7399423046935912,0.3735634606629146,0.9237340769246706,66.53771760154739,66.45661657779932
ion_channel_2,0.2136465324384787,0.7863534675615212,1.2209997177124023,0.0,0.010873568833626113,0.0456448408229859,0.6269022445031193,0.2476414942929009,0.7745575764683983,74.47362195410457,75.44757033248082
ion_channel_3,0.3243014394580863,0.6756985605419137,1.4365458488464355,0.08407552389269901,0.017657487158256657,0.1324372370561818,0.4684996833740355,0.4593007846238632,0.7056076226078708,74.86910994764398,72.70992366412214
kinase,0.2162162162162162,0.7837837837837838,0.2823743820190429,0.020625889046941598,0.005689900426742556,0.0512091038406827,0.6187766714082503,0.2820894204677016,0.7222454965486826,76.3157894736842,87.5
serine,0.9141494435612084,0.0858505564387916,1.5462653636932373,-0.014741159537539739,-0.00696706129316059,0.822193582374578,0.0067721919520891,0.8851974650763968,0.0233834944454049,91.1242603550296,88.52657004830918
splicing,0.1154394299287411,0.8845605700712589,2.632951498031616,-0.0487727632620745,-0.022250185007081535,0.0076959619952494,0.7627657657907355,0.0585850489100913,0.7848579302784454,64.0,61.317747077577046
transcription,0.4730878186968839,0.5269121813031161,1.359976291656494,-0.11801535492876797,-0.053602572762190936,0.1679804573633863,0.2493925982680229,0.3958570388819795,0.4999595665736263,82.2463768115942,79.01033170201197
transcription_2,0.7640941434044882,0.2359058565955117,2.311708688735962,-0.08635327961711281,-0.03282335432896599,0.5178578247658325,0.0479083516567494,0.6393401550797986,0.1993294681086767,92.35880398671095,83.88507183010618
transcription_3,0.8126361655773421,0.1873638344226579,1.6834099292755127,0.014286911345734787,0.007355637524536801,0.6719875984581867,0.0364833869007815,0.7772955504837887,0.2701629664013845,83.76068376068376,81.31618759455371
transporter,0.2929377350605934,0.7070622649394066,3.1441330909729004,-0.08962804238919861,-0.046321524198665864,0.0595570808870237,0.4671848446858894,0.1905597813571423,0.6607503067110627,75.177304964539,83.31226295828066
ubiquitin,0.7067108533554267,0.2932891466445733,1.9068539142608645,-0.1083501976177218,-0.04665237534412489,0.4228679696307061,0.0723358881858813,0.424199002909008,0.2188222064804124,44.67213114754098,73.18652849740933
zinc_finger,0.4890350877192982,0.5109649122807017,1.1680030822753906,-0.0764476751318856,-0.03984029221991153,0.2017697215065636,0.2407281501626406,0.4165959958695868,0.4648567714877576,87.41258741258741,82.69581056466302
