,fp rate,tp rate,time,fp precision,tp precision,fp ef10,tp ef10,fp bedroc,tp bedroc,fp scaffold,tp scaffold
GPCR,0.5113573407202218,0.48864265927977824,0.463768458366394,-0.034472758211978094,0.03449856940508966,0.2438584319418886,0.25562912116346453,0.478704535659823,0.531814618348286,79.95108695652173,70.88695652173912
GPCR_2,0.7915966386554621,0.2084033613445378,0.4007930040359497,-0.07862809684420491,-0.03666118471317795,0.5643835011648776,0.03579164689460267,0.6919793884830385,0.17949172697414553,86.31313131313132,84.04040404040403
GPCR_3,0.5652435357787133,0.4347564642212868,0.34833874702453616,0.022783582172727468,-0.025504785059227486,0.33237852728463885,0.17792481300912139,0.5872111972973946,0.39664236048226775,92.29357798165138,83.4862385321101
channel_atp,0.48028045574057837,0.5197195442594216,0.4583263635635376,0.09745371641709993,0.016150863954094263,0.2774744315007955,0.27850232433883865,0.5537281354819085,0.5474529217216625,83.44151586677155,84.47154471544715
cysteine_protease,0.48458692971639944,0.5154130702836006,0.462495756149292,-0.01935089445326471,0.012271498517716917,0.225447301921593,0.2719755237471649,0.4803360187036242,0.524295365766404,84.81865736704445,79.94594594594595
ion_channel,0.15909090909090912,0.840909090909091,0.4497489929199219,0.04506740845981716,0.031118592848465965,0.03247973233761548,0.7332960067961275,0.20859086912172833,0.8656033353732239,80.96899224806202,69.45736434108525
ion_channel_2,0.2136465324384787,0.7863534675615212,0.3754184484481812,0.024685888339762735,-0.007855395909996732,0.05091889526693968,0.6121746581331339,0.23231215718664613,0.7654325941251381,85.48463356973996,81.84397163120568
ion_channel_3,0.32430143945808626,0.6756985605419137,0.4469618558883667,0.07810637016926164,0.047839507702238215,0.13050143191132452,0.48889363120985035,0.40336230289288144,0.7061779330172255,78.60606060606061,71.63636363636363
kinase,0.21621621621621617,0.7837837837837839,0.44840967655181885,0.015035933766583937,0.03324520172346257,0.05000046486114592,0.6403740697218958,0.21301494930947662,0.8321875495750988,77.5,81.25000000000001
serine,0.9141494435612085,0.0858505564387916,0.409169602394104,0.049492601183198315,0.04830967353246195,0.8809128389952846,0.01151773039498833,0.9483693510279929,0.15295845104264363,98.74015748031496,84.25196850393701
splicing,0.1154394299287411,0.8845605700712589,0.4528700828552246,-0.009998528805745407,0.004870061529007708,0.01217203751681131,0.7867552665271718,0.11632554754737953,0.8859026656811919,71.18721461187215,65.29680365296804
transcription,0.47308781869688393,0.5269121813031161,0.4659134864807129,0.05552656195111644,-0.006501545935368336,0.2500810242725668,0.27421070305496054,0.5376119351143787,0.5289824221528014,84.52991452991454,77.008547008547
transcription_2,0.7640941434044882,0.23590585659551172,0.44788594245910646,0.019535462434697837,0.03352346253394478,0.5987667924200896,0.0635599543211799,0.7757280401252499,0.27166063576741983,91.37339055793991,81.5450643776824
transcription_3,0.8126361655773421,0.18736383442265786,0.4701382637023926,0.10850475958513484,0.08035100457905314,0.7485524293804006,0.050160078767205074,0.9148763675349636,0.26991090580371485,95.3072625698324,79.16201117318437
transporter,0.2929377350605934,0.7070622649394067,0.450471019744873,-0.03378599910523472,-0.015988560004986496,0.07591532256778369,0.48863213905099834,0.24854057446580832,0.6887776868240907,84.75285171102661,80.0380228136882
ubiquitin,0.7067108533554267,0.29328914664457334,0.4609600305557251,-0.19873200330646812,-0.029281947638190364,0.3589941666046078,0.0774304461046061,0.4766167894964967,0.2658167237936019,23.441558441558442,74.74025974025975
zinc_finger,0.4890350877192982,0.5109649122807018,0.44139115810394286,-0.02084606807074668,0.048338154859317806,0.22896085829304164,0.2857842426395275,0.46417037600145933,0.5678234265083103,84.29824561403508,85.52631578947367
