,fp precision,tp precision,fp ef10,tp ef10,fp bedroc,tp bedroc
zinc_finger,0.0009765625,0.0029296875,0.0009765625,0.0029296875,0.0009765625,0.0009765625
ubiquitin,0.0966796875,0.009765625,0.0966796875,0.009765625,0.919921875,0.0009765625
transporter,0.0009765625,0.9814453125,0.0009765625,0.9814453125,0.0009765625,0.080078125
transcription_3,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
transcription_2,0.0009765625,0.001953125,0.0009765625,0.001953125,0.0009765625,0.0009765625
transcription,0.0009765625,0.0185546875,0.0009765625,0.0185546875,0.0009765625,0.0009765625
splicing,0.0009765625,0.9308528545374025,0.0009765625,0.9308528545374025,0.0009765625,0.013671875
serine,0.9451276806264933,0.06174263607227449,0.9451276806264933,0.06174263607227449,0.9951171875,0.0009765625
kinase,0.129839126104895,0.008877961307018026,0.11379025261811354,0.008980238763039383,0.001953125,0.0048828125
ion_channel_3,0.0009765625,0.0068359375,0.0009765625,0.0068359375,0.0009765625,0.001953125
ion_channel_2,0.24609375,0.0029296875,0.24609375,0.0029296875,0.7841796875,0.0244140625
ion_channel,0.1376953125,0.0185546875,0.1376953125,0.0185546875,0.0009765625,0.0419921875
cysteine_protease,0.0009765625,0.0419921875,0.0009765625,0.0419921875,0.5390625,0.0419921875
channel_atp,0.0009765625,0.34765625,0.0009765625,0.34765625,0.0009765625,0.052734375
GPCR_3,0.0009765625,0.0244140625,0.0009765625,0.0244140625,0.0185546875,0.0009765625
GPCR_2,0.0244140625,0.3392011879260941,0.0244140625,0.3392011879260941,0.001953125,0.1875
GPCR,0.013671875,0.0009765625,0.013671875,0.0009765625,0.0009765625,0.0009765625
