,fp precision,tp precision,fp ef10,tp ef10,fp bedroc,tp bedroc
zinc_finger,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
ubiquitin,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,1.0
transporter,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
transcription_3,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
transcription_2,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
transcription,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
splicing,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
serine,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
kinase,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
ion_channel_3,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
ion_channel_2,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
ion_channel,0.998046875,0.0009765625,0.998046875,0.0009765625,0.1875,1.0
cysteine_protease,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
channel_atp,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
GPCR_3,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
GPCR_2,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
GPCR,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
