,fp precision,tp precision,fp ef10,tp ef10,fp bedroc,tp bedroc
zinc_finger,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
ubiquitin,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,1.0
transporter,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
transcription_3,0.080078125,1.0,0.080078125,1.0,0.0009765625,1.0
transcription_2,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
transcription,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
splicing,0.0009765625,1.0,0.0009765625,1.0,0.0009765625,0.9033203125
serine,0.5,0.0009765625,0.5,0.0009765625,1.0,0.0009765625
kinase,0.990234375,0.0009765625,0.990234375,0.0009765625,0.0009765625,0.0009765625
ion_channel_3,0.013671875,0.0009765625,0.013671875,0.0009765625,0.0009765625,0.0009765625
ion_channel_2,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
ion_channel,1.0,0.0009765625,1.0,0.0009765625,0.615234375,0.0009765625
cysteine_protease,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
channel_atp,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.013671875,0.0009765625
GPCR_3,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625
GPCR_2,1.0,1.0,1.0,1.0,1.0,1.0
GPCR,1.0,0.0009765625,1.0,0.0009765625,0.0009765625,0.0009765625
