,fp rate,tp rate,time,fp precision,tp precision,fp ef10,tp ef10,fp bedroc,tp bedroc,fp scaffold,tp scaffold
GPCR,0.5113573407202217,0.4886426592797783,0.0,0.2628362076668751,-0.07955175018886917,0.395889554105978,0.1998992697053639,0.4916536033593027,0.4750183022125023,90.23136246786632,81.00649350649351
GPCR_2,0.7915966386554621,0.2084033613445378,0.0,0.18319327731092427,0.4545179869700689,0.771640420874232,0.1381550372958172,0.9616077847786648,0.6403912739330241,98.04878048780488,83.58208955223881
GPCR_3,0.5652435357787132,0.4347564642212868,0.0,0.15697868644350899,0.2575512280864055,0.4082314425068484,0.3009852444608908,0.7350178521163858,0.6844639103881791,97.70642201834862,87.1559633027523
channel_atp,0.4802804557405784,0.5197195442594216,0.0,0.20913933948126462,0.06435125220075544,0.331114853445723,0.3035530081515206,0.737846036922635,0.6206991562636403,93.06930693069307,86.99186991869918
cysteine_protease,0.4845869297163995,0.5154130702836005,0.0,0.05387460874513894,0.24515030999808962,0.2609314236934458,0.3920043069762595,0.5752954737941804,0.7453492049508225,95.41666666666669,77.60416666666667
ion_channel,0.1590909090909091,0.8409090909090909,0.0,0.34090909090909094,-0.0009090909090909705,0.0795454545454545,0.7063636363636364,0.2511338010280295,0.8356392359060882,85.4251012145749,68.35016835016835
ion_channel_2,0.2136465324384787,0.7863534675615212,0.0,-0.0768044271753208,-0.07749270806785036,0.0292358412810549,0.5574151162461416,0.1921502978692493,0.6997383243016514,85.81560283687944,94.32624113475175
ion_channel_3,0.3243014394580863,0.6756985605419137,0.0,0.26031394515729833,0.190968106124753,0.189591610760112,0.5856054191363252,0.558994563824214,0.8798163656239053,94.38202247191012,77.38095238095238
kinase,0.2162162162162162,0.7837837837837838,0.0,0.30552291421856637,0.12925969447708585,0.1128084606345476,0.7156286721504113,0.4531177751708533,0.82287414040163,96.0,92.0
serine,0.9141494435612084,0.0858505564387916,0.0,0.030500002933256387,0.007172699375161809,0.8635507658733185,0.0079860982733759,0.9590734783893972,0.1062618400942815,92.27941176470588,96.9465648854962
splicing,0.1154394299287411,0.8845605700712589,0.0,0.094046736079164,0.08242056200421277,0.0241829635819101,0.8553533814368305,0.212974240497251,0.9594976165459448,92.25092250922508,49.7737556561086
transcription,0.4730878186968839,0.5269121813031161,0.0,-0.08754565002218506,-0.22691218130311613,0.1823953035939793,0.1580736543909348,0.4170896911686356,0.3045496780497326,96.28252788104088,82.84518828451883
transcription_2,0.7640941434044882,0.2359058565955117,0.0,0.03590585659551182,0.220615882534923,0.6112753147235906,0.1076961519240379,0.796574546397135,0.5050830734150128,97.3076923076923,82.3293172690763
transcription_3,0.8126361655773421,0.1873638344226579,0.0,0.1657811006097083,0.4496224669472051,0.7950972555289103,0.1193481958993643,0.9725779124819084,0.6726091350885901,98.35164835164836,79.32960893854748
transporter,0.2929377350605934,0.7070622649394066,0.0,0.1350925679697096,0.09050858526302252,0.1253862275069964,0.5639322517937777,0.4171770367812322,0.8022500696738549,97.19298245614036,86.84210526315789
ubiquitin,0.7067108533554267,0.2932891466445733,0.0,0.0,0.0,0.4994402302503554,0.086018523539502,0.4670342356010709,0.5329657643989258,61.77429876060013,61.77429876060013
zinc_finger,0.4890350877192982,0.5109649122807017,0.0,-0.027496626180836703,-0.01698900866624392,0.2257085020242915,0.2524043542591418,0.4747746431756531,0.4954088350324116,95.0920245398773,86.84210526315789
