,Source,Filter,SMARTS,Filter Family ID,Head of filter family?,Filter Classification H0: p=p0 Exact Test,GSK Recommendation,Filter Recommendations from this Work,N Total,N Noisy,Fraction_Noisy,FILTER_IFI_Median,FILTER_IFI_StdDevSample,0 ≥ IFI,1 ≥ IFI > 0,2 ≥ IFI > 1,5 ≥ IFI > 2,10 ≥ IFI > 5,IFI > 10,Exact_test_no_lessthan,95% CI Lower Limit Wilson,95% CI Upper Limit Wilson,Kappa,Selectivity,Specificity
0,GSK_CTC,CTC_Thiadiazolesulfinyl,O=Cc1nnsc1S(=O)[#6],Unique,Y,Potentially useful,Remove,Use Filter,14,14,1.0,14.55,8.1594,0,0,0,2,1,11,0.0001,0.7847,1.0,7.33e-05,0.0042,100.0
1,NIH,dihydroxybenzene,[OH1]c1ccc([OH1])cc1,Unique,Y,Potentially useful,Remove,Use Filter,14,14,1.0,7.925,7.946,0,0,0,4,3,7,0.0001,0.7847,1.0,7.33e-05,0.0042,100.0
2,GSK_CTC,CTC_Dihydroisoquinoline,"[$([#6][C;!H0]=[C;!H0]C1NCCc2ccccc12),$([#6][CH]=[CH]C1=NCCc2ccccc12)]",Unique,Y,Potentially useful,Remove,Use Filter,61,58,0.9508,7.41,4.3539,1,2,0,5,36,17,0.0001,0.8651,0.9831,0.000301,0.0174,99.9999
3,PainsB,naphth_amino_B,c1ccc2cccc3c2c1[NH][CX4][NH]3,Unique,Y,Potentially useful,Remove,Use Filter,19,18,0.9474,5.67,3.0401,1,0,0,7,9,2,0.0001,0.7536,0.9906,9.34e-05,0.0054,100.0
4,NIH,alkynyl_michael_acceptor2,"[CH1]#CC(=O)-[#6,#7,#8]",Unique,Y,Potentially useful,Remove,Use Filter,45,42,0.9333,9.18,5.1256,0,0,3,3,20,19,0.0001,0.8214,0.9771,0.000217,0.0126,99.9999
5,GSK_CTC,CTC_Pyrimidinesulfone,"[#6]S(=O)(=O)c1ncc([Cl,Br])c(n1)C([#7])=O",Unique,Y,Potentially useful,Remove,Use Filter,247,224,0.9069,16.16,9.2946,16,0,7,16,30,178,0.0001,0.8642,0.9371,0.00115,0.0673,99.999
6,Lilly,biotin,[SD2r5]1-C-[C;R2]2-N-C(=O)-N-C2-C1,Unique,Y,Potentially useful,Extreme Caution,Use Filter,20,18,0.9,5.895,2.3481,1,0,1,6,12,0,0.0001,0.699,0.9721,9.27e-05,0.0054,99.9999
7,PainsB,cyano_imine_B,N#CC(C#N)=N[NH]c1ccccc1,Unique,Y,Potentially useful,Remove,Use Filter,23,20,0.8696,10.06,6.2188,0,3,0,3,5,12,0.0001,0.6787,0.9546,0.000102,0.006,99.9999
8,NIH;BMS,para_quinone,"[CH1,$(C(-[Cl,Br,I]))]1=[CH1,$(C(-[Cl,Br,I]))]C(=[O,N,S])[CH1,$(C(-[Cl,Br,I]))]=[CH1,$(C(-[Cl,Br,I]))]C1(=[O,N,S])",Unique,Y,Potentially useful,Remove,Use Filter,15,13,0.8667,4.71,5.1373,1,1,0,6,3,4,0.0001,0.6212,0.9626,6.65e-05,0.0039,99.9999
9,PainsB,naphth_amino_A,c1ccc2cccc3c2c1ncn3,38,Y,Potentially useful,Extreme Caution,Use Filter,50,42,0.84,3.75,3.1735,2,4,2,24,14,4,0.0001,0.7149,0.9166,0.000214,0.0126,99.9996
